matchunitid,matchmakingid,evaluation,userid,teamflag,waittime,rank,tier,tsmu,tssigma,level,lineupoverall,usernbagroupid,isai,matchhitid,leaderboard,framerate,isautoplay,rotationoverall,timecheckid,rotationoverallstreet,poolindex,userteamvalue,competitionid,usertaggroupid,rotationoverallsmooth,rotationoverallstreetsmooth,lineupinstanceid
7764452548068916732,3,35,1139617456,1,5798,53,5,284764,8138,110,104,0,0,7764452645343203322,260347,60,0,105,1,116,0,197932800,2050025,0,10500,11600,25
7764452505488336209,3,35,3064210191,0,8336,43,4,233478,8150,110,105,0,0,7764452645343203322,209025,60,0,105,1,110,0,29973760,2050025,0,10500,11000,1
7764452578754438608,3,69,3611095569,1,5974,46,5,234788,8158,110,93,0,0,7764452678981526434,210312,60,0,93,1,109,0,33871440,2050025,0,9300,10900,1
7764452508374013332,3,69,1269758379,0,10169,37,4,216009,8177,110,98,0,0,7764452678981526434,191476,60,0,98,1,105,0,22294720,2050025,0,9800,10500,1
7764452623230842917,3,71,3832748508,1,5322,32,3,326171,17653,104,77,0,0,7764452712519176657,273212,60,0,77,1,87,0,5108800,2050025,0,7700,8700,1
7764452039048183367,3,71,1735676992,0,40142,17,2,282641,8674,110,70,0,0,7764452712519176657,256618,60,0,74,2,82,0,4058630,2050025,0,7228,8200,1
7764452479114543708,3,19,630378077,0,14408,58,5,259338,8227,110,93,0,0,7764452720840673471,234655,60,0,93,1,95,0,24551040,2050025,0,9300,9500,1
7764452585716987688,3,36,2944956725,1,8054,23,3,185605,8695,110,89,0,0,7764452720840673470,159519,60,0,89,1,95,0,6842600,2050025,0,8900,9500,1
7764452404455936854,3,36,2869679790,0,18858,22,3,189376,12637,105,87,0,0,7764452720840673470,151463,60,0,87,1,92,0,6431840,2050025,0,8700,9200,1
7764452625780973219,3,19,1837206558,1,5666,58,5,238915,8055,110,92,0,0,7764452720840673471,214749,60,0,92,1,99,0,19140600,2050025,0,9200,9900,1
7764452530016628150,3,22,2763421346,1,11374,32,3,217443,8265,110,98,0,0,7764452720840673472,192647,60,0,98,1,104,0,35110400,2050025,0,9800,10400,7
7764452529328753701,3,22,1704190867,0,11415,36,4,192671,8586,110,98,0,0,7764452720840673472,166911,60,0,98,1,107,0,68706800,2050025,0,9800,10700,4
7764452585549209119,3,80,953526766,1,8064,64,6,272326,8112,110,105,0,0,7764452720840673473,247989,60,0,105,1,109,0,36932410,2050025,0,10500,10900,1
7764452517718930110,3,80,1063222939,0,12107,83,7,273084,8013,110,98,0,0,7764452720840673473,249043,60,0,98,1,108,0,42001920,2050025,0,9800,10800,1
7764452607376359797,3,0,3564730140,0,9264,13,2,183134,14190,103,77,0,0,7764452762800499694,140563,60,0,77,1,84,1,3737900,2050025,0,7700,8400,1
7764452578217569450,3,45,349484006,1,11504,104,9,327743,8219,110,116,0,0,7764452771222660430,303084,60,0,116,1,129,2,541401600,2050025,0,11600,12900,14
7764452263024010564,3,45,1073313470,0,30291,120,9,348053,8272,110,108,0,0,7764452771222660430,323236,60,0,109,1,119,2,271616000,2050025,0,10900,11900,10
7764452664704121724,3,86,464934741,1,6847,68,6,262255,8161,110,106,0,0,7764452779577707483,237771,60,0,106,1,116,0,127385600,2050025,0,10600,11600,1
7764452628498881024,3,86,764518254,0,9005,58,5,294458,8078,110,112,0,0,7764452779577707483,270223,60,0,112,1,121,0,114142010,2050025,0,11200,12100,1
7764452588317442813,3,57,897249645,1,11907,37,4,215762,8228,110,102,0,0,7764452788083757527,191076,60,0,102,1,105,0,31952640,2050025,0,10200,10500,1
7764452602443860234,3,44,2297882161,1,11065,51,5,235809,8133,110,98,0,0,7764452788083757528,211407,60,0,98,1,105,0,29739600,2050025,0,9800,10500,1
7764452547716590055,3,57,2602655523,0,14327,33,3,203565,9032,110,88,0,0,7764452788083757527,176466,60,0,98,1,106,0,69399680,2050025,0,9800,10600,1
7764452587965133742,3,44,1269903272,0,11928,73,6,284110,8019,110,97,0,0,7764452788083757528,260051,60,0,97,1,104,0,52500200,2050025,0,9700,10400,1
7764452550098956134,3,63,873592718,0,14683,56,5,247237,8163,110,85,0,0,7764452796438813810,222746,60,0,85,1,87,0,54593600,2050025,0,8500,8700,19
7764452657036928159,3,63,3750722107,1,8309,36,4,317992,22842,110,81,0,0,7764452796438813810,249463,60,0,81,1,90,0,14803400,2050025,0,8100,9000,1
7764452648748977134,3,43,89245310,1,10298,11,2,201676,8108,110,100,0,0,7764452821520758368,177351,60,0,100,1,108,0,35116480,2050025,0,10000,10800,1
7764452631233565737,3,43,2572147252,0,11342,32,3,228525,8223,110,102,0,0,7764452821520758368,203855,60,0,102,1,118,0,146965760,2050025,0,10200,11800,1
7764452653564036544,3,36,2743314641,1,11017,80,7,282570,8258,110,87,0,0,7764452838398634805,257794,60,0,87,1,92,0,7508800,2050025,0,8700,9200,1
7764452360046649106,3,149,2076492799,0,28512,45,4,240696,8425,110,73,0,0,7764452838398634806,215420,60,0,73,1,79,0,3402600,2050025,0,7300,7900,3
7764452526073983857,3,36,3939532412,0,18616,62,6,281680,12079,110,89,0,0,7764452838398634805,245442,60,0,89,1,96,0,6083200,2050025,0,8900,9600,1
7764452476363088526,3,149,2094058574,1,21579,23,3,370729,33859,81,69,0,0,7764452838398634806,269152,60,0,69,1,75,0,3300460,2050025,0,6900,7500,1
7764452696866036037,3,40,781714681,0,8934,63,6,284720,8286,110,105,0,0,7764452846753690225,259860,60,0,105,1,112,0,110432000,2050025,0,10500,11200,8
7764452710640130360,3,34,961264273,1,8113,15,2,203093,8241,110,86,0,0,7764452846753690224,178369,60,0,86,1,96,0,11978440,2050025,0,8600,9600,1
7764452617761462090,3,34,1697911206,0,13649,16,2,194198,8183,110,83,0,0,7764452846753690224,169646,60,0,83,1,89,0,6813600,2050025,0,8300,8900,1
7764452737567558823,3,40,1225022852,1,6508,64,6,243767,8256,110,103,0,0,7764452846753690225,218997,60,0,103,1,115,0,71098640,2050025,0,10300,11500,1
7764452765770069636,3,41,2556008596,1,5823,24,3,195375,8158,110,84,0,0,7764452863463799525,170899,60,0,84,1,97,0,19574500,2050025,0,8400,9700,1
7764452721914420168,3,41,1507107557,0,8437,32,3,198853,8301,110,88,0,0,7764452863463799525,173948,60,0,88,1,92,0,7830280,2050025,0,8800,9200,1
7764452395748568710,3,0,2011318974,0,28385,36,4,196299,8537,110,91,0,0,7764452871969835701,170687,60,0,91,1,97,1,11255300,2050025,0,9100,9700,1
7764452761944854201,3,49,3271643881,1,7057,48,5,259814,10372,110,95,0,0,7764452880341669625,228697,60,0,95,1,99,0,12702900,2050025,0,9500,9900,1
7764452708761089944,3,49,3833784671,0,10227,37,4,347839,32951,103,91,0,0,7764452880341669625,248984,60,0,97,1,105,0,20218320,2050025,0,9460,10500,1
7764452749194174601,3,44,411369598,1,7817,50,5,225489,8039,110,98,0,0,7764452880341669626,201369,60,0,98,1,104,0,26837760,2050025,0,9800,10400,1
7764452737936660614,3,44,2416775608,0,8488,64,6,254736,8095,110,100,0,0,7764452880341669626,230450,60,0,100,1,108,0,49632240,2050025,0,10000,10800,1
7764452693611254130,3,45,2402161055,1,11130,46,5,218406,8131,110,92,0,0,7764452880341669624,194011,60,0,92,1,98,0,11102040,2050025,0,9200,9800,7
7764452570583928002,3,45,2303385120,0,18463,58,5,248976,8067,110,89,0,0,7764452880341669624,224774,60,0,89,1,92,0,14590820,2050025,0,8900,9200,1
7764452775333077868,3,34,492186095,1,6758,55,5,294039,8143,110,103,0,0,7764452888713509424,269608,60,0,105,1,115,0,62855810,2050025,0,10500,11500,1
7764452762985046094,3,34,1045202442,0,7494,46,5,244344,8043,110,106,0,0,7764452888713509424,220212,60,0,106,1,114,0,60569600,2050025,0,10600,11400,1
7764452810431014541,3,32,1784388563,1,4666,80,7,266181,8158,110,96,0,0,7764452888713509425,241704,60,0,96,1,108,2,45914880,2050025,0,9600,10800,1
7764452733809460355,3,32,1078613361,0,9233,94,7,280999,8169,110,91,0,0,7764452888713509425,256490,60,0,91,1,102,2,14287320,2050025,0,9100,10200,5
7764452674904668410,3,0,1620372230,0,13242,24,3,183044,8450,110,97,0,0,7764452897068562205,157693,60,0,97,1,105,1,16644640,2050025,0,9700,10500,1
7764452798334644889,3,53,1595296070,1,6385,12,2,157800,13775,104,78,0,0,7764452905457160135,116473,60,0,78,1,85,0,3019740,2050025,0,7800,8500,1
7764452583166850449,3,53,364344169,0,19210,25,3,201924,9806,106,79,0,0,7764452905457160135,172505,60,0,79,1,88,0,3195540,2050025,0,7900,8800,1
7764452810615565666,3,65,1465008112,1,6150,53,5,250587,8100,110,99,0,0,7764452913795436854,226286,60,0,99,1,110,0,91288960,2050025,0,9900,11000,13
7764452720672904784,3,65,1540492686,0,11511,41,4,220185,8194,110,95,0,0,7764452913795436854,195603,60,0,95,1,105,0,47299320,2050025,0,9500,10500,1
7764452767145793198,3,87,1621683989,0,9240,77,6,287753,8137,110,108,0,0,7764452922167269948,263341,60,0,108,1,117,0,103005200,2050025,0,10800,11700,1
7764452817443886977,3,87,1724791057,1,6242,54,5,251862,8138,110,102,0,0,7764452922167269948,227447,60,0,102,1,109,0,94280170,2050025,0,10200,10900,1
