matchunitid,matchmakingid,evaluation,userid,teamflag,waittime,rank,tier,tsmu,tssigma,level,lineupoverall,usernbagroupid,isai,matchhitid,leaderboard,framerate,isautoplay,rotationoverall,timecheckid,rotationoverallstreet,poolindex,userteamvalue,competitionid,usertaggroupid,rotationoverallsmooth,rotationoverallstreetsmooth,lineupinstanceid
7764452336004980602,4,188,2489373834,1,17946,47,4,197121,10677,110,103,0,0,7764452637088893723,165089,60,0,93,1,103,0,50108800,2060025,0,9300,10300,1
7764452312634313980,4,188,729128135,1,19339,41,4,185811,10619,110,101,0,0,7764452637088893723,153951,60,0,92,1,99,0,12556040,2060025,0,9200,9900,1
7764449629487722429,4,221,190062387,1,179267,67,5,197133,10545,110,96,0,0,7764452637088893724,165496,30,0,83,4,95,0,51038400,2060025,0,8300,9500,17
7764448435453257773,4,221,1066007021,0,250437,110,7,249577,10602,110,127,0,0,7764452637088893724,217769,30,0,108,6,121,0,322139200,2060025,0,10800,12100,14
7764448299591363730,4,221,1456851008,0,258535,63,5,185598,10606,110,107,0,0,7764452637088893724,153779,30,0,99,6,104,0,18405120,2060025,0,9900,10400,21
7764452491244556274,4,188,2089142692,0,8693,41,4,206365,10624,110,107,0,0,7764452637088893723,174492,60,0,89,1,100,0,25346780,2060025,0,8900,10000,1
7764452255860224363,4,188,2863188065,0,22723,33,3,195604,10629,110,104,7764408221944120809,0,7764452637088893723,163717,60,0,96,1,102,0,20154600,2060025,0,9600,10200,1
7764452255860224363,4,188,2293741282,0,22723,28,3,176860,10785,110,104,7764408221944120809,0,7764452637088893723,144504,60,0,94,1,103,0,20744760,2060025,0,9400,10300,1
7764448481540269886,4,221,1158290147,1,247690,61,5,223425,10602,110,116,0,0,7764452637088893724,191618,30,0,107,6,115,0,125884640,2060025,0,10700,11500,1
7764450606022351921,4,221,1255703240,1,121061,78,6,160703,10618,110,100,7764450053382107051,0,7764452637088893724,128848,30,0,94,4,101,0,49951960,2060025,0,9400,10100,9
7764449944932941342,4,221,497349274,0,160465,70,5,158229,10508,110,109,0,0,7764452637088893724,126704,30,0,102,4,109,0,37056000,2060025,0,10200,10900,1
